company_name,company_industry
Rentokil North America,Consumer Services
Breezeline,Telecommunications
Procore,IT Services and IT Consulting
Vision,Financial Services
Radiance Technologies Inc.,Defense and Space Manufacturing
Winland Foods,Food and Beverage Manufacturing
Fragomen,Law Practice
Semtech,"Technology, Information and Internet"
Boston Dynamics,Automation Machinery Manufacturing
Customers Bank,Banking
University of the Cumberlands,Higher Education
Floor & Decor,Retail
Acrisure,Financial Services
VIAVI Solutions,Telecommunications
Nelnet,IT Services and IT Consulting
Progressive Leasing,Financial Services
Accelleron Industries,Transportation Equipment Manufacturing
Truist,Financial Services
University of Mississippi Medical Center,Hospitals and Health Care
POOLCORP,Wholesale
WellSky,Software Development
AML RightSource,Financial Services
Carters,Retail Apparel and Fashion
DataRobot,Software Development
The Job Network,Staffing and Recruiting
Hibbett,Retail
Devoted Health,Hospitals and Health Care
YETI,Manufacturing
Dynata,Market Research
Nasdaq,Financial Services
Metropolitan Washington Airports Authority,Airlines and Aviation
The Cigna Group,Hospitals and Health Care
EisnerAmper,Accounting
Hamilton Company,Biotechnology
Bonterra,Software Development
FIS,IT Services and IT Consulting
Interior Logic Group,Architecture and Planning
Fabletics,Retail Apparel and Fashion
Trek Bicycle,Sporting Goods Manufacturing
Driscoll Children's Hospital,Hospitals and Health Care
The National Academies,Education
ABC Fitness Solutions,Computer Hardware Manufacturing
Avaap,IT Services and IT Consulting
"Evergreen Technologies, LLC.",Professional Services
Bain & Company,Business Consulting and Services
Cengage Group,E-Learning Providers
Inmar,IT Services and IT Consulting
Hexcel Corporation,Aviation and Aerospace Component Manufacturing
Bowdoin College,Higher Education
Lowe's Home Improvement,Retail Furniture and Home Furnishings
Yext,Software Development
Nebraska Medicine,Hospitals and Health Care
Traditions Health,Hospitals and Health Care
Sky Zone,Recreational Facilities
Curtiss-Wright Corporation,Defense and Space Manufacturing
Enthalpy Analytical,Environmental Services
"Helmerich & Payne, Inc.",Oil and Gas
RFG Advisory,Financial Services
Squarespace,Software Development
Assurant,Insurance
Collibra,Software Development
Shake Shack,Hospitality
Marcum,Advertising Services
Resilience,Pharmaceutical Manufacturing
Alliant Energy,Utilities
Barr Engineering,Professional Services
Groundswell,IT Services and IT Consulting
Shipt,Software Development
Grand Casino Mille Lacs & Hinckley,Gambling Facilities and Casinos
Datadog,Software Development
Intercom,Software Development
Slalom Consulting,Professional Services
ActiveCampaign,Software Development
Alliance Ground International,Airlines and Aviation
Assured Automotive,Vehicle Repair and Maintenance
Madix,Capital Markets
OhioHealth,Hospitals and Health Care
Better,Financial Services
GE Appliances,Manufacturing
Interface,Textile Manufacturing
Brooks Automation,Semiconductor Manufacturing
embecta,Medical Equipment Manufacturing
Meharry Medical College,Higher Education
Huron,Business Consulting and Services
Jackson,Financial Services
MBK Senior Living,Hospitals and Health Care
Argano,IT Services and IT Consulting
Airtable,Software Development
USC,Higher Education
AeroVironment,Defense and Space Manufacturing
ZT Systems,Computer Hardware Manufacturing
SBA Communications,Telecommunications
Manhattan Associates,Software Development
Ubiquity,Outsourcing and Offshoring Consulting
Ribbon Communications,Telecommunications
"Healogics, LLC.",Hospitals and Health Care
Morningstar,Financial Services
"McNeal Professional Services, Inc.",Legal Services
University of Southern California,Higher Education
thredUP,Retail Apparel and Fashion
Tricentis,Software Development
Ballard Designs,Furniture and Home Furnishings Manufacturing
AppOmni,Computer and Network Security
Lamb Weston,Food and Beverage Manufacturing
Arcis Golf,Hospitality
WSFS Bank,Banking
"Take-Two Interactive Software, Inc.",IT Services and IT Consulting
Foundation for California Community Colleges,Higher Education
Oregon Department of Environmental Quality,Government Administration
Finish Line,Retail
The RealReal,Retail Apparel and Fashion
Asana,Software Development
Zendesk,Software Development
Getty Images,Photography
Ansira,Software Development
Neuberger Berman,Financial Services
Ebara Elliott Energy,Industrial Machinery Manufacturing
Fenwick & West,Law Practice
"Systems, LLC - Poweramp | DLM",Machinery Manufacturing
Disney,Broadcast Media Production and Distribution
Westlake Corporation,Chemical Manufacturing
First Interstate Bank,Financial Services
Brigham Young University,Higher Education
City of Amarillo,Government Administration
Ryan Specialty,Insurance
Prairie View A&M University,Education Administration Programs
Zip,Software Development
Cystic Fibrosis Foundation,Non-profit Organizations
Goodyear,Transportation Equipment Manufacturing
Waste Connections,Environmental Services
Five Star Senior Living,Hospitals and Health Care
Accenture Federal Services,IT Services and IT Consulting
South Shore Health,Hospitals and Health Care
Blend,Professional Services
OutSystems,Software Development
Yahoo,"Technology, Information and Internet"
PACS,Hospitals and Health Care
Safelite Group,Vehicle Repair and Maintenance
BOEING,Defense and Space Manufacturing
Instacart,Software Development
CLEAResult,Utilities
Convoy,Truck Transportation
